time,activity,lifecycle,payload
2022/08/01 12:13:10.724755655,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:10.724792290,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:11.223401693,WEED_FOUND,START,
2022/08/01 12:13:11.224743602,WEED_FOUND,STOP,
2022/08/01 12:13:11.224770892,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:11.224794642,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:11.724104787,WEED_FOUND,START,
2022/08/01 12:13:11.724146630,WEED_FOUND,STOP,
2022/08/01 12:13:11.724183975,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:11.724220909,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:12.224690831,WEED_FOUND,START,
2022/08/01 12:13:12.224717733,WEED_FOUND,STOP,
2022/08/01 12:13:12.224744151,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:12.224806041,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:12.725226471,WEED_FOUND,START,
2022/08/01 12:13:12.725289018,WEED_FOUND,STOP,
2022/08/01 12:13:12.725309716,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:12.725330540,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:12.725351027,CLOSEST_TRACTOR,START,{ name: tractor_3 }
2022/08/01 12:13:12.725700251,CLOSEST_TRACTOR,STOP,{ name: tractor_3 }
2022/08/01 12:13:12.738085497,EXPLORE,START,
2022/08/01 12:13:12.852189389,EXPLORE,STOP,
2022/08/01 12:13:13.224290241,WEED_FOUND,START,
2022/08/01 12:13:13.224327584,WEED_FOUND,STOP,
2022/08/01 12:13:13.224356850,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:13.224378686,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:23.225935460,WEED_FOUND,START,
2022/08/01 12:13:23.225965354,WEED_FOUND,STOP,
2022/08/01 12:13:23.225989930,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:23.226012670,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:23.572830736,TRACTOR_POSITION,START,"{ header: tractor_2, weed: {x: 8.104880653107386, y: 5.205436183808441} }"
2022/08/01 12:13:23.572919651,TRACTOR_POSITION,STOP,"{ header: tractor_2, weed: {x: 8.104880653107386, y: 5.205436183808441} }"
2022/08/01 12:13:23.723782046,WEED_FOUND,START,
2022/08/01 12:13:23.724507975,WEED_FOUND,STOP,
2022/08/01 12:13:23.725894393,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:23.725933813,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:24.223736404,WEED_FOUND,START,
2022/08/01 12:13:24.224315593,WEED_FOUND,STOP,
2022/08/01 12:13:24.224342862,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:24.224366896,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:24.725182753,WEED_FOUND,START,
2022/08/01 12:13:24.725211012,WEED_FOUND,STOP,
2022/08/01 12:13:24.725234917,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:24.725258355,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:25.225351929,WEED_FOUND,START,
2022/08/01 12:13:25.225414387,WEED_FOUND,STOP,
2022/08/01 12:13:25.225439987,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:25.225463128,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:25.724399885,WEED_FOUND,START,
2022/08/01 12:13:25.724434002,WEED_FOUND,STOP,
2022/08/01 12:13:25.724457429,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:25.724480318,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:26.226336671,WEED_FOUND,START,
2022/08/01 12:13:26.226396342,WEED_FOUND,STOP,
2022/08/01 12:13:26.226435167,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:26.226472799,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:26.725759960,WEED_FOUND,START,
2022/08/01 12:13:26.725791134,WEED_FOUND,STOP,
2022/08/01 12:13:26.725815701,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:26.725839531,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:27.226889301,WEED_FOUND,START,
2022/08/01 12:13:27.226939538,WEED_FOUND,STOP,
2022/08/01 12:13:27.226984508,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:27.227009202,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:27.730796841,WEED_FOUND,START,
2022/08/01 12:13:27.730861238,WEED_FOUND,STOP,
2022/08/01 12:13:27.730883520,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:27.730907060,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:28.224705080,WEED_FOUND,START,
2022/08/01 12:13:28.225874558,WEED_FOUND,STOP,
2022/08/01 12:13:28.225902853,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:28.225928110,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:28.226916359,CLOSEST_TRACTOR,START,{ name: tractor_2 }
2022/08/01 12:13:28.226997984,CLOSEST_TRACTOR,STOP,{ name: tractor_2 }
2022/08/01 12:13:28.283877802,EXPLORE,START,
2022/08/01 12:13:28.419693463,EXPLORE,STOP,
2022/08/01 12:13:28.724101938,WEED_FOUND,START,
2022/08/01 12:13:28.724144943,WEED_FOUND,STOP,
2022/08/01 12:13:28.724170509,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:28.724194805,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:38.729915789,WEED_FOUND,START,
2022/08/01 12:13:38.738109752,WEED_FOUND,STOP,
2022/08/01 12:13:38.738149096,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:38.738180299,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:39.227697950,WEED_FOUND,START,
2022/08/01 12:13:39.227779676,WEED_FOUND,STOP,
2022/08/01 12:13:39.227805762,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:39.227831254,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:39.728944778,WEED_FOUND,START,
2022/08/01 12:13:39.729064927,WEED_FOUND,STOP,
2022/08/01 12:13:39.729152909,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:39.729226199,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:40.223914325,WEED_FOUND,START,
2022/08/01 12:13:40.225656811,WEED_FOUND,STOP,
2022/08/01 12:13:40.225736162,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:40.225813284,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:40.725395764,WEED_FOUND,START,
2022/08/01 12:13:40.725423134,WEED_FOUND,STOP,
2022/08/01 12:13:40.725447751,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:40.725471847,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:41.224899941,WEED_FOUND,START,
2022/08/01 12:13:41.224964868,WEED_FOUND,STOP,
2022/08/01 12:13:41.225039851,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:41.225065840,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:41.724157753,WEED_FOUND,START,
2022/08/01 12:13:41.724186404,WEED_FOUND,STOP,
2022/08/01 12:13:41.724211568,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:41.724235478,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:42.227138949,WEED_FOUND,START,
2022/08/01 12:13:42.227274511,WEED_FOUND,STOP,
2022/08/01 12:13:42.227350103,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:42.227390232,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:42.725007714,WEED_FOUND,START,
2022/08/01 12:13:42.725039461,WEED_FOUND,STOP,
2022/08/01 12:13:42.725064158,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:42.725087767,WEED_POSITION,STOP,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
2022/08/01 12:13:43.225110097,WEED_FOUND,START,
2022/08/01 12:13:43.225135917,WEED_FOUND,STOP,
2022/08/01 12:13:43.225159282,WEED_POSITION,START,"{ weed: {x: 8.931670931058628, y: 5.295894420676311} }"
